ID	price	bedrooms	bathrooms	sqft_living	sqft_lot
242	790000	3	2.25	2370	10289
243	880000	4	3.5	2800	6750
244	279000	6	1.75	2240	11180
245	295000	3	2	1810	10530
246	260000	4	2.5	1960	5238
247	559900	3	2.75	2930	5569
248	265000	3	1.75	1420	8250
249	245000	3	1.75	1740	11547
250	485000	4	1.75	2560	43995
251	684000	4	3.5	3040	8414
252	425000	3	1.75	2500	6840
253	309600	4	1.75	1275	20000
254	552250	4	2.5	2580	5823
255	165000	4	1	1000	7134
256	239900	4	1	1000	7134
257	320000	2	1	1070	32633
258	387000	4	1.75	2500	7690
259	299000	1	0.75	560	12120
260	855000	4	2.75	2270	10460
261	315000	3	1	1900	14400
262	437500	2	1	990	3120
263	375000	4	1.75	2200	7475
264	300000	4	2.5	1910	4862
265	420000	4	1	1750	9600
266	900000	3	1	1330	77972
267	679900	3	2.5	2440	5750
268	463000	3	2.5	1640	29970
269	380000	5	2.5	2760	11340
270	604950	3	2.5	2110	5608
271	795000	5	2.5	3040	9570
272	465000	3	2	1840	40438
273	673000	4	2.5	2990	10400
274	785000	4	2.75	2440	69415
275	338000	4	3	2090	7500
276	280000	3	2.25	1430	7222
277	530000	4	2.25	2180	10754
278	730000	4	2.5	3230	7331
279	450000	3	1.75	1640	13500
280	275000	3	3	1590	7750
281	595000	4	2	2020	2849
282	435000	3	1.5	1300	3348
283	270000	2	1.5	1380	209959
284	950000	3	3	4040	14338
285	389000	4	2.25	2130	5337
286	560000	4	2.25	2550	7800
287	799000	4	2.25	2510	11585
288	365500	3	2	1410	9600
289	252350	3	2	1650	7352
290	403950	4	2.5	2120	13780
291	385000	4	1.5	2040	10726
292	345000	4	1	1550	7620
293	490000	3	2.75	1980	3128
294	330000	3	2.5	1600	26977
295	927000	4	2.75	3300	12090
296	1120000	4	2.5	3840	16619
297	330000	2	1	1220	10000
298	365000	4	2	1940	25600
299	378750	3	2.5	2160	3000
300	269900	4	1.75	1530	8750
301	352000	2	1	940	5000
302	437000	3	2.5	1750	22357
303	322500	4	2.5	1820	6753
304	450000	3	2	1290	1213
305	278500	3	2	1570	5250
306	364950	4	2.5	1930	6957
307	840000	4	3.5	2840	40139
308	268000	3	2.5	1550	8134
309	517534	2	1	833	143947
310	577500	3	2.5	2000	7251
311	339000	4	1.5	2390	7480
312	563500	4	1.75	2085	174240
313	423000	4	2.25	2200	9351
314	1550000	5	4.25	6070	171626
315	482000	2	1	950	3960
316	625000	3	1.75	1600	9135
317	538000	3	2.5	2250	11632
318	375000	2	1	940	5120
319	310000	5	1.75	2190	27260
320	1300000	3	2	2350	15021
321	397000	4	2	1440	7680
322	365000	3	2.5	2200	4052
323	1000000	4	2.5	2610	3277
324	237000	3	2.5	1490	2138
325	525000	4	2.5	2450	5280
326	749000	4	2.5	1710	9627
327	722500	5	2.5	4870	11800
328	438000	2	2	1270	1372
329	578000	3	1.75	2120	10875
330	227950	3	1.5	1670	8230
331	196000	3	2.25	2070	11576
332	641000	2	1	1420	5332
333	350000	3	1.5	1250	219978
334	205000	3	1	940	7980
335	400000	3	1.75	1920	9102
336	505000	3	2	1260	5460
337	475000	5	2.5	2340	7200
338	520000	3	2.25	2590	9263
339	1450000	3	4.5	3970	24920
340	691100	3	2.75	2360	16117
341	811000	3	1.75	1870	9897
342	551000	3	2.5	2830	5802
343	578000	4	2.5	3140	9225
344	255000	3	1.75	1240	8659
345	1050000	4	3.5	3450	7832
346	359500	4	2.25	2390	11250
347	80000	1	0.75	430	5050
348	465000	3	1.75	1480	6360
349	325000	4	2.5	1850	7324
350	340500	3	2	2270	28025
351	290900	2	2	1610	17600
352	868700	3	4.25	3840	6161
353	1200000	4	2.75	4110	8400
354	1150000	4	3.25	4190	10259
355	520000	4	2.25	1890	3006
356	460000	3	2.5	1610	2527
357	438924	3	1.5	1050	4590
358	315000	2	1	630	6550
359	590000	4	2.75	2910	10650
360	378500	4	1.75	1700	8640
361	849950	3	3	2990	9773
362	1390000	4	3.25	4860	181319
363	295000	4	2.5	2160	7725
364	207950	2	2	890	5000
365	699900	4	2.75	2810	7302
366	1280000	5	2.5	3400	9500
367	452000	4	1.5	1580	7350
368	370000	3	2	1680	5036
369	232000	3	1.75	1300	11230
370	669950	5	2.5	2820	14062
371	397500	3	2	1510	6710
372	490000	2	2.5	1230	1391
373	725000	4	2	2110	4140
374	625000	2	1.5	1490	5750
375	437500	3	2.5	2120	4500
376	650000	4	2.5	3180	5438
377	475000	2	1	1490	3825
378	342000	3	2	1930	11947
379	280000	3	1.5	1670	11610
380	442000	3	1	1190	5100
381	615000	2	1	1540	6872
382	1490000	4	3.75	4030	10800
383	480000	4	2.5	2600	7787
384	1100000	5	3.5	4410	57063
385	290000	4	1	1330	8184
386	615000	3	1.75	1900	5000
387	308000	3	1	1980	39150
388	750000	3	2.5	2400	7745
389	890000	4	3.25	3180	194278
390	288000	3	1	1190	7560
391	190000	2	1	630	6000
392	515000	5	3	2530	5105
393	275000	2	1	940	5000
394	727500	2	2	1240	9119
395	650000	4	2.5	3040	6587
396	1600000	6	5	6050	230652
397	365000	4	1	1590	7085
398	662000	3	1.75	2500	36947
399	270500	3	2.5	1780	7848
400	200000	2	1.5	1360	1898
401	970000	4	3.25	4740	76230
402	358000	3	2.25	1610	6655
403	452000	4	1.75	1570	8268
404	595000	2	2	1510	4000
405	249000	3	2	1360	6082
406	346900	4	2.5	1970	5106
407	2130000	3	2.5	5403	24069
408	280000	4	2.5	1560	4350
409	530000	3	2.25	2120	40518
410	375000	3	2.25	2120	18500
411	910000	4	2.5	3350	29242
412	782000	4	2.5	2380	9614
413	259950	2	2	1070	649
414	315000	4	2.75	2300	18360
415	705000	3	1.75	2180	10221
416	1450000	3	3	4380	6320
417	451000	3	1.75	1790	9813
418	261000	2	1	750	8125
419	725000	4	2.5	2990	29170
420	1950000	7	3.5	4640	15235
421	238000	4	1	1400	7242
422	750000	6	1.75	2750	9563
423	331500	4	2.5	2050	10271
424	404950	4	2.25	2340	217014
425	880000	3	2.5	2870	5163
426	863000	4	2.5	4120	22370
427	638700	3	1.75	2080	9162
428	435000	3	2.5	1840	5680
429	260000	3	1	1180	5350
430	671500	5	2.75	2160	4000
431	405000	2	0.75	1160	15029
432	338900	4	2.5	1830	5612
433	720000	4	4	3200	7708
434	442000	5	3	2560	5445
435	650000	5	2.75	2550	5040
436	263500	3	1.75	1330	9917
437	300000	2	1	1220	75794
438	266000	3	2.5	1805	3402
439	930000	4	4	6050	84942
440	530000	4	2.5	2320	5493
441	180000	3	1	1384	8960
442	619000	3	2.5	2720	6439
443	439000	4	2.25	2060	10070
444	330000	3	1.75	1510	15744
445	640000	3	2.5	2160	4000
446	900000	3	2.5	3180	12600
447	370000	3	2.25	2110	13300
448	290000	3	2.5	1610	2937
449	360000	4	2.5	1840	9611
450	372500	2	2.5	1400	2958
451	515000	4	3	3590	8249
452	1220000	4	2.25	3200	15367
453	507000	2	1.75	1670	6460
454	399950	4	2	2420	31465
455	185000	3	1.75	1430	10816
456	460000	3	1.75	1440	7070
457	435500	3	2.25	1450	4789
458	531000	2	3	1270	1175
459	340000	2	2.5	1100	1760
460	650000	3	2	1870	3388
461	533600	3	2.5	1930	5080
462	242000	3	1.75	1280	7524
463	425000	3	2.25	1820	8814
464	525000	3	2.25	1490	9414
465	485000	3	2.5	1880	5502
466	175000	3	1	1250	9775
467	210000	3	2	1440	7210
468	260000	3	2.5	1920	7415
469	200000	3	1.5	1210	10588
470	325000	3	1	990	6750
471	1040000	3	1.75	1900	9375
472	480000	4	2.25	3250	34293
473	218000	3	1	960	9633
474	565000	2	1.75	1330	6000
475	426700	3	1.75	2080	7700
476	650000	3	2.5	2690	11575
477	542000	2	1	890	3060
478	415000	3	1.75	1070	8000
479	214000	3	1	1200	8316
480	245000	3	1.5	1360	8910
481	314500	3	2	2050	13303
482	1120000	3	1.5	3000	5750
483	378000	2	2	1300	3850
484	595000	5	2.75	3740	6750
485	729500	3	2.5	1660	1091
486	430000	3	2.5	2360	6699
487	240000	3	1.75	1760	6500
488	530000	3	1.75	1320	2500
489	157000	1	1	870	26326
490	425000	4	1	1260	7645
491	220000	3	1	1000	6020
492	325000	3	1	1920	6862
493	337000	3	2.5	1470	3976
494	1000000	3	2.5	3180	10492
495	495000	3	1	990	6000
496	748000	4	3.5	2770	3330
497	888000	3	1.5	1250	8710
498	496500	4	2.5	2250	14440
499	331000	3	1.75	1300	9079
500	306000	3	1.5	1220	1086
501	655000	4	2.5	2630	4000
502	1250000	4	3.25	3160	5000
503	435000	4	2.5	1700	6380
504	865000	4	1.75	1800	4180
505	385000	3	1.75	1800	18000
506	497000	3	2.25	1870	9315
507	478500	3	1	2090	4755
508	1150000	4	3.5	4370	18361
509	222000	3	2	1440	7187
510	609900	4	2.5	3190	7399
511	413000	4	3.5	2380	5809
512	400000	4	1	1420	4875
513	320000	3	2.5	2680	7757
514	507000	4	2.5	2730	7649
515	387500	3	1	1220	8329
516	396000	3	1	1500	12616
517	373000	3	1.75	1830	11788
518	359900	4	2.25	2470	7698
519	690000	4	2.5	2900	23488
520	245000	3	2	1410	5760
521	268000	4	1.75	1680	9966
522	225000	3	1.75	1760	26055
523	980000	4	2.25	2240	11034
524	795000	2	1	1380	5000
525	130000	2	1	880	9000
526	325000	2	1	1060	5703
527	440000	3	1.75	1530	7245
528	550000	4	1.75	2480	14782
529	310000	3	1.75	1490	7150
530	530000	3	2.5	3660	39478
531	390000	4	2.5	2340	8548
532	243000	3	1.75	1450	12125
533	639000	4	2.5	2210	9875
534	215000	4	1	1130	7400
535	405000	5	1.75	1550	10500
536	250000	4	1.75	1710	7140
537	405500	3	1.5	1010	8108
538	452000	6	2.25	2660	13579
539	730000	6	2.25	2660	13579
540	267000	3	2	1300	9644
541	289950	3	2.5	1670	6186
542	565000	2	1	960	4080
543	320000	3	1.5	1650	9380
544	210000	2	1.75	1440	5680
545	245000	2	1	1050	5900
546	328000	3	1.75	1470	7650
547	985000	4	2.25	4230	37769
548	550000	3	2	2380	17950
549	347500	4	2.5	2156	3562
550	365000	4	2.25	2070	8893
551	588000	3	1	1910	8167
552	605000	3	1.75	1920	7400
553	1300000	3	3.25	3400	5979
554	233000	3	2	1400	9177
555	459000	2	1.75	1170	4887
556	305000	3	1	1160	9750
557	395000	3	1	1500	4000
558	560000	4	2.5	2940	6000
559	650000	4	1.75	2010	5070
560	517500	3	1.5	1430	5200
561	329999	3	1	1150	6908
562	950000	3	1.75	2150	4200
563	447000	3	1	1370	6001
564	699800	2	2.5	2380	6600
565	850000	3	1.75	1370	3850
566	316500	3	1.75	1600	14250
567	942500	5	3.5	3750	9612
568	1310000	2	2.25	3950	3938
569	565000	4	2.5	2440	22594
570	400000	3	2.25	1190	1149
571	374950	4	2.75	2730	4683
572	405300	3	2.75	2390	7939
573	824000	4	2.25	2490	9864
574	260000	3	1.75	1100	10968
575	760000	4	2.5	2430	6099
576	405000	3	2.5	3170	12750
577	429900	4	2.5	2640	8625
578	341500	3	1.5	1130	7223
579	465250	5	2	1940	7642
580	390000	3	1	1200	10800
581	420000	3	2.25	2000	8030
582	269950	3	2.5	1890	4838
583	493000	4	2	1910	2874
584	305000	3	1	1250	23680
585	320000	3	1.5	1240	1221
586	715000	4	1	2000	4800
587	650000	6	2.75	3610	10003
588	218000	5	1.75	1930	8040
589	232500	3	1.5	1940	9887
590	408200	3	2.5	1800	5761
591	675000	4	2.5	2810	11120
592	1360000	4	3.5	3550	11000
593	249950	4	1	1330	7980
594	210000	2	1	750	34133
595	429950	4	1	1760	7216
596	737500	4	2.5	3200	36276
597	710000	4	2	1740	9000
598	422120	3	2.5	1630	4534
599	625000	5	2.5	2990	15085
600	500000	3	2.25	1690	4964
601	308000	4	2.25	1960	12243
602	565000	3	2.75	2390	9966
603	581000	3	2.5	2600	4438
604	361000	3	2	1950	8698
605	345000	3	1	1250	7210
606	419000	2	2.25	1180	1253
607	347000	3	2.5	1680	4308
608	625000	4	2.25	2220	36085
609	379000	3	3.25	2660	17852
610	310000	3	1.5	1150	3323
611	250000	2	2	1130	5500
612	246500	3	2	1430	8919
613	325000	3	1	1490	57381
614	825000	3	1.75	2010	3090
615	175000	4	1	1300	6030
616	465750	3	1.5	1260	10350
617	659000	4	2.25	2610	24931
618	350000	3	2.25	1780	16290
619	270000	4	2.25	1900	8600
620	662500	6	2.25	2450	25600
621	249900	3	1.75	1380	14000
622	324500	3	1.75	1920	11340
623	430000	2	1.75	1350	4003
624	285000	4	1.75	2510	7440
625	282000	4	1.75	1660	10725
626	456500	4	3.5	2000	2309
627	352000	3	2.25	1640	11050
628	664000	4	2	1530	4080
629	628000	3	1.75	4000	11894
630	512000	3	1.75	1610	12555
631	254000	3	2	2070	9000
632	535800	4	2.5	1900	5790
633	287653	3	1	1050	16050
634	438000	3	2.5	1520	1304
635	450000	4	1.75	2390	23899
636	425000	3	1	1520	213444
637	166600	3	1.75	1150	8690
638	245000	1	0.75	380	15000
639	565000	3	1	910	5212
640	910000	3	3.5	2480	3200
641	280000	4	2.5	2050	7416
642	275000	3	2.25	1420	8549
643	467000	3	2.5	3460	6590
644	457500	3	2.5	1500	4445
645	381156	2	1	1320	3090
646	289999	5	2.5	2180	8240
647	469950	3	2.25	1620	8701
648	795000	3	2	2920	13650
649	785000	4	2.5	3300	10514
650	860000	3	2.25	3060	12095
651	147500	3	1	1530	8498
652	390000	3	2	1910	11576
653	229000	3	1	1020	8100
654	185000	3	1	1150	8100
655	200000	4	2	1920	4822
656	225000	4	2.25	1800	9350
657	720000	3	1.75	2040	4000
658	930000	4	2.5	2200	4000
659	1270000	5	2.5	3200	17204
660	700000	5	3.25	2400	3118
661	466000	2	1.5	1140	1058
662	374000	3	1.5	1330	10640
663	1010000	4	1	1820	5400
664	395000	4	2.5	2910	5000
665	340000	2	1	1090	6771
666	209000	3	2	1230	1340
667	730000	4	2.25	2190	9009
668	291500	3	1.75	1260	9600
669	905000	4	3.5	2970	14486
670	800000	4	2.5	2570	50308
671	200000	1	1.5	1010	1157
672	300000	3	2	1480	6698
673	314950	3	2.25	1654	8479
674	255000	3	1.75	1410	9315
675	550000	5	2.75	2160	5720
676	615000	4	2.25	2500	10062
677	205000	3	2	1410	8384
678	384000	4	1.75	2100	7135
679	324000	3	2.5	1750	7208
680	645000	3	1.75	2070	5500
681	324000	3	2.5	1920	5322
682	270000	2	1	1000	10320
683	290000	5	1.5	2120	7700
684	250000	3	2	1440	9220
685	342000	3	1.75	1660	16275
686	255000	3	1.5	1340	8450
687	800000	3	2.25	2380	11824
688	990000	4	2.5	2780	10480
689	288400	4	2.5	1860	6687
690	359000	2	2.75	1370	1140
691	390000	4	3	2570	262018
692	545000	5	2.5	2520	7863
693	288349	3	1	1250	18616
694	299900	3	2.25	1560	35026
695	891000	4	2	2330	5000
696	1200000	3	2	3660	22410
697	299995	2	1	1060	7200
698	350000	3	2.25	1580	47916
699	565000	4	3	2020	4300
700	315000	2	1	970	5665
701	570000	4	3	1490	6766
702	971000	5	3.5	4390	10140
703	260000	4	1.75	1810	7480
704	1320000	3	3	2230	12968
705	369950	3	1	2430	10720
706	1030000	3	2.5	3680	13384
707	435000	5	1	1410	6750
708	601000	3	1.75	1330	6743
709	851000	4	2.5	3130	13202
710	550000	4	3	2670	5000
711	700000	4	1	1980	4560
712	378000	4	1.5	2140	7920
713	650000	4	2	2208	5000
714	385000	3	2	1010	7380
715	425000	2	1	970	2970
716	210000	4	2	1520	6174
717	582800	4	2.75	2550	7636
718	532500	3	1.75	1330	5000
719	397500	3	1.25	1510	13737
720	524250	3	2.5	1710	3469
721	469500	5	2.5	2970	24759
722	216000	3	1	1280	8712
723	427200	3	1	1030	8400
724	280000	3	2.25	1900	7800
725	379000	2	1	930	5400
726	326100	2	1	880	7683
727	535000	3	2.5	1360	1016
728	260000	3	1	1480	7469
729	399000	4	1	1500	6388
730	640000	4	1.75	2060	9828
731	585000	4	2.5	2160	8158
732	645000	4	2	2780	11583
733	253000	3	2	1490	7651
734	178500	2	1	740	6460
735	199950	2	2.75	1590	20917
736	553500	2	1	850	2340
737	289000	3	2	1850	9550
738	258000	4	1.75	1730	8320
739	530000	3	2.5	1930	7214
740	245000	3	2.25	1422	3677
741	563000	3	2	1380	5000
742	325000	4	2.5	2610	7091
743	280300	2	1	920	5000
744	460000	4	1.75	1750	5500
745	475000	3	1.75	2020	8970
746	429000	2	1	1080	3600
747	164808	3	1	1250	5411
748	520000	4	2.25	1870	7700
749	475000	3	1.75	1700	8432
750	283000	4	1.5	1480	47045
751	321500	4	2.5	1930	6228
752	840000	4	2.75	3130	21810
753	287000	3	2.25	1370	6000
754	375000	3	1.75	960	8106
755	349500	3	1.75	1260	7128
756	446450	3	1.5	1480	7749
757	315000	4	2.5	1930	9643
758	271310	2	1	870	5340
759	245000	3	1.75	1490	6930
760	543115	2	1	1380	5484
761	900000	4	2	1190	8190
762	2450000	4	4.25	4250	6552
763	554000	2	2	1920	6045
764	249900	3	1.75	2080	12522
765	980000	4	3	3680	5854
766	395000	5	2.5	2070	9600
767	415000	3	1.75	1480	2200
768	380000	4	2.5	2000	6921
769	566000	3	2.5	1560	5259
770	512031	3	1.75	1540	3000
771	470000	3	2.25	1780	8784
772	465000	4	2.25	2210	8862
773	499000	2	1.75	2040	114562
774	410000	3	2	1700	4250
775	850000	4	3.25	3450	6500
776	648000	4	2.5	2380	13435
777	620000	4	2.25	2400	5350
778	935000	4	4.5	5670	84267
779	379000	3	1	1140	10320
780	528000	4	2.25	1910	8005
781	425000	3	1.75	1560	9452
782	249500	2	1.75	1500	8645
783	1040000	5	3.25	4475	6642
784	790000	4	2.75	2840	11900
785	399950	3	1	1020	18050
786	275000	3	1.5	1410	9000
787	140000	1	1	730	6890
788	250000	3	1	1190	6250
789	318000	3	2.25	1410	8909
790	505000	2	1	1240	57000
791	470500	5	2.5	2500	9248
792	360000	3	1	1050	9206
793	1240000	4	2.75	2680	8500
794	986000	3	2.5	2380	16080
795	515000	2	1	1060	4228
796	320000	3	1.75	2300	41900
797	310000	4	3	2010	7426
798	775000	4	1.75	2320	5595
799	325000	3	1	1040	7541
800	208000	4	2.75	1810	8677
801	825000	2	1	1150	12775
802	515000	3	2.5	2360	11254
803	490000	3	1.5	1970	3400
804	675000	4	3	2690	28300
805	360000	4	2.5	2080	4080
806	550000	4	2.5	2080	4080
807	225000	3	1.5	1370	9000
808	500000	3	2.75	3410	9360
809	385000	4	2	1850	11700
810	837700	5	2.75	3010	12611
811	448000	3	2.25	1530	3056
812	575000	4	1.5	2810	7140
813	430000	3	1.75	1810	7300
814	435000	3	2.5	1560	3987
815	241000	3	1	1010	9611
816	453500	2	1.75	1000	1760
817	285000	2	1.5	990	1380
818	1570000	5	4.5	6070	14731
819	631000	5	2	2270	2400
820	817500	4	2.5	2910	35679
821	550000	3	2	1810	12825
822	609850	2	2.75	1910	1369
823	200000	3	1	1230	4380
824	367000	4	2.5	2960	6219
825	285167	3	2.25	2200	8375
826	275000	2	1.5	1270	32175
827	350900	4	2.5	2540	12843
828	660000	4	3.25	3030	9273
829	262000	4	2.5	1560	7800
830	690000	2	1	970	4560
831	552500	4	3.5	3710	10400
832	224500	4	1	1430	8355
833	239000	3	1	940	8571
834	975000	5	4.5	4300	12250
835	1200000	4	1.75	3990	13470
836	505000	3	1	1380	4000
837	302000	4	1.75	2020	7865
838	195000	2	1	1190	27007
839	272000	5	1.5	2550	6300
840	369000	5	1.5	2550	6300
841	332500	3	1.5	1500	6332
842	515000	3	2.5	3000	8250
843	269000	3	1	1690	4250
844	303000	3	2.5	1560	4100
845	420000	7	3	2940	8624
846	400000	3	1	1130	4100
847	225000	3	1	1020	8437
848	219000	2	2	1310	2550
849	605000	3	2.5	2570	9487
850	625000	4	2	2020	6867
851	380000	5	2	1680	3240
852	620000	4	2	1770	7700
853	687500	4	2.75	3190	10970
